Setting,Mean Payload,Std Payload,Mean Memory,Mean Reward
Generic RL (PPO),34615.33859233233,6578.637718049133,67563.7892307565,-54823.1139865262
BD RL (PPO),27314.412366883433,5410.263143265489,52646.39824899614,-43007.183576108146
Random Baseline,34863.834124319634,5640.449362313045,68316.83165827193,N/A
